"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Mar-2023","EQ","430.95","441.45","430.00","428.00","440.50","440.10","437.38","494.40","366.20",11307064,"4,945,464,572.30",130804
"03-Mar-2023","EQ","422.60","430.50","421.95","420.45","427.85","428.00","426.38","494.40","366.20",8027522,"3,422,737,474.30",103296
"02-Mar-2023","EQ","426.00","426.25","419.55","426.00","420.80","420.45","422.29","494.40","366.20",5661103,"2,390,619,755.30",96472
"01-Mar-2023","EQ","421.50","428.00","421.50","420.70","426.10","426.00","425.74","494.40","366.20",7595114,"3,233,560,212.05",96817
"28-Feb-2023","EQ","419.00","424.80","419.00","417.95","420.65","420.70","421.85","494.40","366.20",9652088,"4,071,686,157.50",110730
"27-Feb-2023","EQ","427.75","428.05","413.05","427.75","418.55","417.95","418.13","494.40","366.20",10438928,"4,364,809,298.30",150655
"24-Feb-2023","EQ","435.40","436.70","427.00","433.20","427.40","427.75","429.41","500.40","366.20",7895024,"3,390,173,527.20",132638
"23-Feb-2023","EQ","428.65","436.45","427.20","429.45","435.00","433.20","432.39","500.40","366.20",9278920,"4,012,130,316.60",144810
"22-Feb-2023","EQ","435.30","435.85","428.25","436.50","428.80","429.45","431.20","500.40","366.20",7209130,"3,108,542,015.10",132853
"21-Feb-2023","EQ","445.20","445.20","435.25","443.00","436.20","436.50","440.11","500.40","366.20",8957930,"3,942,499,886.25",165217
"20-Feb-2023","EQ","441.80","445.30","436.25","439.90","442.15","443.00","441.37","500.40","366.20",9717197,"4,288,869,342.40",148264
"17-Feb-2023","EQ","436.00","442.45","436.00","441.60","439.60","439.90","440.30","511.50","366.20",6955445,"3,062,455,950.25",128577
"16-Feb-2023","EQ","445.00","448.25","440.50","444.15","440.85","441.60","443.43","511.50","366.20",7670688,"3,401,448,898.50",135525
"15-Feb-2023","EQ","438.50","444.90","438.15","440.55","443.65","444.15","441.35","511.50","366.20",9857016,"4,350,353,618.35",165475
"14-Feb-2023","EQ","442.00","444.30","434.40","441.05","440.80","440.55","439.74","511.50","366.20",8565559,"3,766,584,785.50",165241
"13-Feb-2023","EQ","445.50","446.90","438.90","445.85","441.00","441.05","441.95","511.50","366.20",8333767,"3,683,146,606.05",138344
"10-Feb-2023","EQ","437.95","447.80","431.20","436.75","444.40","445.85","440.73","511.50","366.20",14798390,"6,522,076,821.95",239763
"09-Feb-2023","EQ","440.00","440.70","433.55","440.10","436.80","436.75","436.02","511.50","366.20",7349418,"3,204,465,989.70",100774
"08-Feb-2023","EQ","435.45","441.00","431.55","435.45","440.05","440.10","437.21","511.50","366.20",8668267,"3,789,895,025.35",141672
